1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
340	0.000000	259.022116	0.000000	1.8
341	-0.001322	258.670343	0.000072	2.5
342	-0.781219	258.319841	0.005875	1.9
343	-0.000000	257.970602	0.000000	4.0
344	-0.021390	257.622620	0.001737	3.3
345	-0.804988	257.275887	0.031635	2.8
346	-0.852449	256.930396	0.008131	1.8
347	-0.806017	256.586139	0.027451	4.2
348	-0.540152	256.243109	0.006540	2.2
349	-0.378932	255.901300	0.003895	2.9
350	-0.006618	255.560703	0.001393	1.7
351	0.000000	255.221313	0.000000	2.9
352	-0.716294	254.883122	0.008561	4.0
353	-0.356019	254.546124	0.009615	3.9
354	-0.863308	254.210311	0.019593	1.6
355	-0.572891	253.875677	0.008072	3.5
356	-0.001497	253.542215	0.000046	2.7
357	-0.521371	253.209918	0.015783	2.7
358	-0.777730	252.878781	0.007314	1.6
359	-0.057417	252.548795	0.001630	2.8
360	-0.454721	252.219956	0.008904	2.6
361	-0.000000	251.892255	0.000000	3.0
362	-0.047000	251.565688	0.002088	3.0
363	-0.584921	251.240247	0.010959	2.1
364	-0.556465	250.915926	0.014198	1.7
365	-0.664447	250.592720	0.012670	2.7
366	-0.470249	250.270621	0.015113	2.4
367	-0.000119	249.949624	0.000018	1.6
368	-0.694451	249.629723	0.009581	2.6
369	-0.000000	249.310911	0.000000	1.8
370	-0.019989	248.993182	0.003712	2.6
371	-0.039508	248.676531	0.001298	1.8
372	-0.135928	248.360952	0.004723	2.9
373	-0.775865	248.046438	0.009944	2.8
374	-0.000000	247.732984	0.000000	1.6
375	-0.454478	247.420584	0.016447	3.4
376	-0.795702	247.109233	0.025158	3.5
377	-0.429880	246.798924	0.006681	1.7
378	-0.142784	246.489652	0.008407	4.1
379	-1.032315	246.181412	0.012962	2.2
380	-0.000000	245.874197	0.000000	2.8
381	-0.707217	245.568002	0.011071	2.7
382	-0.791453	245.262822	0.034156	1.8
383	-0.932360	244.958652	0.031430	2.3
384	-0.637587	244.655485	0.008270	2.9
385	-1.104052	244.353317	0.036301	2.7
386	-0.000000	244.052142	0.000000	2.6
387	-0.630035	243.751955	0.010967	3.1
388	-0.032175	243.452750	0.002984	1.8
389	-0.581331	243.154523	0.009829	3.3
390	0.000000	242.857268	0.000000	1.9
391	-0.990797	242.560980	0.022775	2.7
392	0.000000	242.265654	0.000000	2.5
393	-0.917645	241.971285	0.012850	1.9
394	-0.979235	241.677868	0.043713	1.8
395	-0.526643	241.385397	0.006212	3.4
396	-0.906297	241.093869	0.007185	2.2
397	-0.067093	240.803278	0.001661	2.3
398	-0.784930	240.513619	0.039969	3.9
399	-0.480653	240.224887	0.005890	2.6
400	-0.875513	239.937077	0.023715	2.1
401	-0.777038	239.650186	0.023009	2.4
402	-0.000000	239.364207	0.000000	3.6
403	-0.418958	239.079136	0.011786	3.1
404	-0.000000	238.794969	0.000000	1.5
405	-0.044569	238.511701	0.002004	3.1
406	-0.000000	238.229327	0.000000	2.2
407	-0.208188	237.947843	0.002530	2.4
408	-0.505751	237.667244	0.010381	2.6
409	-0.000000	237.387526	0.000001	2.1
410	-0.080940	237.108684	0.005544	1.9
411	-0.572508	236.830714	0.007298	2.8
412	-0.390933	236.553610	0.002233	3.3
413	-0.517007	236.277370	0.016195	3.2
414	-0.003754	236.001989	0.000003	2.8
415	-0.931875	235.727461	0.014847	2.9
416	-0.042787	235.453784	0.003192	3.4
417	-0.865970	235.180952	0.014870	3.5
418	-0.754387	234.908962	0.009046	2.3
419	-0.132638	234.637809	0.002147	3.6
420	-0.731388	234.367488	0.009245	2.9
421	-0.989180	234.097997	0.041208	2.1
422	-0.036463	233.829331	0.002954	3.5
423	-0.402232	233.561485	0.005585	3.0
424	-0.844996	233.294456	0.038434	3.2
425	-0.272179	233.028239	0.002361	2.0
426	-0.681218	232.762831	0.026035	2.9
427	-0.498664	232.498228	0.010125	1.9
428	-0.003399	232.234425	0.000118	2.2
429	-0.000000	231.971419	0.000000	3.0
430	-0.550833	231.709205	0.009747	1.8
431	-0.468223	231.447781	0.007339	2.6
432	0.000000	231.187141	0.000000	2.3
433	-0.709451	230.927283	0.023244	2.3
434	-0.839293	230.668202	0.012368	1.8
435	-0.983647	230.409895	0.009189	2.6
436	-0.000000	230.152358	0.000000	2.4
437	-0.555061	229.895587	0.006942	2.3
438	-0.734204	229.639578	0.028634	2.9
439	0.000000	229.384329	0.000000	1.8
440	0.000000	229.129834	0.000000	2.7
441	-0.876261	228.876091	0.009745	3.1
442	-0.580492	228.623096	0.010292	2.2
443	-0.000000	228.370846	0.000000	1.8
444	-0.003565	228.119336	0.000428	2.9
445	-0.000000	227.868563	0.000000	2.1
446	-0.845350	227.618525	0.018801	2.6
447	-0.114115	227.369216	0.002331	4.0
448	-0.892926	227.120635	0.007025	3.6
449	-0.786854	226.872777	0.029730	3.2
450	-0.222306	226.625638	0.005316	1.9
451	-0.823757	226.379217	0.009702	1.7
452	-0.013567	226.133509	0.001505	3.1
453	-0.516973	225.888510	0.010088	3.0
454	-0.987604	225.644218	0.011144	1.9
455	-0.690606	225.400630	0.011223	1.8
456	-0.955808	225.157741	0.033542	2.8
457	0.000000	224.915549	0.000000	2.8
458	-0.267818	224.674051	0.011522	2.8
459	-0.567794	224.433242	0.035816	3.0
460	-0.388605	224.193121	0.011194	1.9
461	-1.029264	223.953684	0.008563	3.6
462	-0.706269	223.714927	0.022988	2.0
463	-0.831982	223.476848	0.025048	2.9
464	0.000000	223.239444	0.000000	1.4
465	-0.326543	223.002710	0.005183	3.9
466	-0.992861	222.766645	0.017594	3.3
467	-1.065695	222.531245	0.028572	1.9
468	-0.053189	222.296508	0.003137	2.0
469	-0.048186	222.062429	0.002496	3.9
470	-0.489104	221.829007	0.007143	1.7
471	-0.717155	221.596238	0.014031	3.3
472	-0.568972	221.364119	0.010268	2.9
473	-0.483481	221.132647	0.008503	2.5
474	0.000000	220.901820	0.000000	3.9
475	-0.721772	220.671634	0.010863	3.7
476	-0.603038	220.442086	0.009534	4.9
477	-1.000906	220.213174	0.018761	3.8
478	0.000000	219.984895	0.000000	3.9
479	-0.782175	219.757246	0.010316	3.2
480	-0.665501	219.530224	0.011680	3.7
481	-0.657326	219.303826	0.010020	3.5
482	-0.484663	219.078050	0.004829	3.1
