1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
186	-0.577087	86.221456	12.335758	0.008483	1.7
187	-0.566806	86.007746	12.360394	0.020015	0.9
188	-0.555951	85.644750	12.402466	0.015873	0.9
189	-0.595670	86.644750	12.287250	0.019731	1.0
190	-0.577801	87.644750	12.174154	0.018713	1.1
191	-0.542976	87.137801	12.231226	0.014184	1.1
192	-0.539788	86.630851	12.288836	0.015880	0.9
193	-0.557534	87.630851	12.175712	0.017557	1.5
194	-0.576545	87.123909	12.232798	0.012425	1.0
195	-0.618153	86.616960	12.290423	0.015451	0.9
196	-0.583391	86.110010	12.348593	0.017086	0.8
197	-0.600320	85.603061	12.407317	0.017674	2.1
198	-0.562201	85.096112	12.466601	0.015543	0.8
199	-0.564020	84.601251	12.525021	0.021662	1.3
200	-0.557782	85.601251	12.407527	0.014048	0.9
201	-0.575044	86.584155	12.294170	0.024999	0.9
202	-0.587747	86.077205	12.352376	0.021088	0.8
203	-0.584152	87.076440	12.238171	0.019039	2.3
204	-0.573456	88.076440	12.125973	0.015929	0.9
205	-0.574915	89.076440	12.015813	0.018629	1.6
206	-0.567539	88.569491	12.071407	0.016290	1.1
207	-0.554475	88.062546	12.127517	0.018910	0.9
208	-0.578253	87.921528	12.143219	0.012041	1.6
209	-0.584923	87.414578	12.200001	0.020238	1.4
210	-0.587434	86.907629	12.257316	0.018600	0.9
211	-0.578618	87.907629	12.144768	0.009060	0.9
212	-0.596897	88.907629	12.034269	0.015111	0.9
213	-0.608269	89.853378	11.931598	0.018265	1.0
214	-0.549664	90.853378	11.824926	0.012322	1.5
215	-0.544183	90.346429	11.878764	0.013406	0.8
216	-0.600970	91.334907	11.774238	0.026062	1.2
217	-0.585787	92.334907	11.670349	0.016349	1.1
218	-0.602697	91.827957	11.722785	0.023805	0.9
219	-0.596795	92.749962	11.627766	0.025564	2.1
220	-0.573922	92.243012	11.679819	0.010703	1.0
221	-0.596019	91.736063	11.732341	0.019564	1.5
222	-0.576552	92.736063	11.629187	0.015543	1.1
223	-0.568996	92.229119	11.681252	0.013558	0.8
224	-0.556706	93.223899	11.579520	0.016162	1.5
225	-0.547825	94.223899	11.479024	0.019305	1.0
226	-0.581678	95.223899	11.380258	0.020172	0.9
227	-0.548965	96.223899	11.283176	0.013310	0.8
228	-0.572294	97.177205	11.192158	0.017395	1.3
229	-0.576766	98.177203	11.098246	0.010010	1.2
230	-0.583633	99.177203	11.005897	0.015848	0.8
231	-0.582818	98.670254	11.052520	0.012878	1.4
